comName,howMany,lat,lng,obsDt
Large-billed Crow,2.0,18.5418811,73.7276595,2026-06-24 11:08
Wire-tailed Swallow,1.0,18.5418811,73.7276595,2026-06-24 11:08
Eastern Cattle-Egret,4.0,18.5418811,73.7276595,2026-06-24 11:08
Dusky Crag-Martin,4.0,18.5418811,73.7276595,2026-06-24 11:08
Spot-breasted Fantail,1.0,18.5418811,73.7276595,2026-06-24 11:08
Common Iora,1.0,18.5418811,73.7276595,2026-06-24 11:08
Oriental Magpie-Robin,1.0,18.5418811,73.7276595,2026-06-24 11:08
Asian Tit,1.0,18.5418811,73.7276595,2026-06-24 11:08
Ashy Prinia,2.0,18.5418811,73.7276595,2026-06-24 11:08
Alexandrine Parakeet,1.0,18.5418811,73.7276595,2026-06-24 11:08
Black Kite,5.0,18.5418811,73.7276595,2026-06-24 11:08
Asian Koel,2.0,18.5418811,73.7276595,2026-06-24 11:08
Common Tailorbird,1.0,18.5418811,73.7276595,2026-06-24 11:08
Common Myna,4.0,18.5418811,73.7276595,2026-06-24 11:08
Little Swift,10.0,18.5418811,73.7276595,2026-06-24 11:08
Red-wattled Lapwing,1.0,18.5418811,73.7276595,2026-06-24 11:08
Little Egret,1.0,18.5418811,73.7276595,2026-06-24 11:08
Brahminy Starling,1.0,18.5418811,73.7276595,2026-06-24 11:08
Red-vented Bulbul,2.0,18.5418811,73.7276595,2026-06-24 11:08
Rock Pigeon,4.0,18.5418811,73.7276595,2026-06-24 11:08
Russet Bush Warbler,1.0,28.0295824,93.7529798,2026-06-24 10:56
Mountain Bulbul,1.0,28.0295824,93.7529798,2026-06-24 10:56
Asian Openbill,1.0,21.1581244,79.0585432,2026-06-24 10:45
Little Cormorant,4.0,21.1581244,79.0585432,2026-06-24 10:45
Gray-bellied Cuckoo,1.0,21.1581244,79.0585432,2026-06-24 10:45
Indian Peafowl,5.0,21.1581244,79.0585432,2026-06-24 10:45
Indian Cormorant,2.0,21.1581244,79.0585432,2026-06-24 10:45
Black-winged Stilt,8.0,26.839633,75.785412,2026-06-24 10:33
House Sparrow,15.0,19.9746031,75.8509678,2026-06-24 10:29
Indian White-eye,5.0,19.9746031,75.8509678,2026-06-24 10:29
Plain Prinia,2.0,19.9746031,75.8509678,2026-06-24 10:29
Eurasian Collared-Dove,1.0,14.4630643,78.9599526,2026-06-24 10:28
Purple-rumped Sunbird,2.0,14.4630643,78.9599526,2026-06-24 10:28
Indian Pond-Heron,3.0,14.4630643,78.9599526,2026-06-24 10:28
White-throated Kingfisher,1.0,14.4630643,78.9599526,2026-06-24 10:28
Yellow-billed Babbler,3.0,10.6729261,75.9920193,2026-06-24 10:18
Rufous Treepie,2.0,10.6729261,75.9920193,2026-06-24 10:18
Greater Coucal,2.0,10.6729261,75.9920193,2026-06-24 10:18
Lesser Whistling-Duck,2.0,10.6729261,75.9920193,2026-06-24 10:18
Black-rumped Flameback,1.0,10.6729261,75.9920193,2026-06-24 10:18
White-cheeked Barbet,1.0,10.6729261,75.9920193,2026-06-24 10:18
Brahminy Kite,1.0,10.6729261,75.9920193,2026-06-24 10:18
Indian Robin,2.0,20.9781241,77.7672715,2026-06-24 10:16
Laughing Dove,1.0,20.9781241,77.7672715,2026-06-24 10:16
White-breasted Waterhen,1.0,20.9781241,77.7672715,2026-06-24 10:16
Baya Weaver,4.0,20.9781241,77.7672715,2026-06-24 10:16
Sarus Crane,2.0,27.2008071,77.8079261,2026-06-24 10:15
Indian Spotted Eagle,1.0,27.2008071,77.8079261,2026-06-24 10:15
Little Grebe,2.0,12.9344534,77.429113,2026-06-24 10:12
Large Gray Babbler,1.0,12.9344534,77.429113,2026-06-24 10:12
Spotted Dove,1.0,12.9344534,77.429113,2026-06-24 10:12
Eurasian Moorhen,1.0,12.9344534,77.429113,2026-06-24 10:12
Indian Cuckoo,1.0,14.5262194,79.0132642,2026-06-24 10:11
Oriental Honey-buzzard,1.0,14.5262194,79.0132642,2026-06-24 10:11
Eastern Red-rumped Swallow,1.0,14.5262194,79.0132642,2026-06-24 10:11
White-browed Fantail,1.0,14.5262194,79.0132642,2026-06-24 10:11
Jungle Babbler,4.0,23.040706,72.52723,2026-06-24 10:08
Purple Sunbird,4.0,23.040706,72.52723,2026-06-24 10:08
Black Drongo,1.0,23.040706,72.52723,2026-06-24 10:08
Rose-ringed Parakeet,9.0,23.040706,72.52723,2026-06-24 10:08
Coppersmith Barbet,4.0,23.040706,72.52723,2026-06-24 10:08
Gull-billed Tern,1.0,19.4621836,72.744758,2026-06-24 10:05
Small Minivet,2.0,11.0956982,76.7250643,2026-06-24 10:05
Asian Palm Swift,4.0,19.4621836,72.744758,2026-06-24 10:05
Red-whiskered Bulbul,3.0,11.0956982,76.7250643,2026-06-24 10:05
Brown-capped Pygmy Woodpecker,1.0,11.0956982,76.7250643,2026-06-24 10:05
White-browed Bulbul,2.0,11.0956982,76.7250643,2026-06-24 10:05
House Crow,10.0,19.4621836,72.744758,2026-06-24 10:05
Asian Green Bee-eater,2.0,11.0956982,76.7250643,2026-06-24 10:05
Brown-headed Barbet,2.0,11.0956982,76.7250643,2026-06-24 10:05
Malabar Parakeet,1.0,11.0956982,76.7250643,2026-06-24 10:05
Pale-billed Flowerpecker,1.0,17.364398,78.529654,2026-06-24 10:02
Shikra,1.0,17.364398,78.529654,2026-06-24 10:02
Crimson-backed Sunbird,2.0,12.2207289,75.7353586,2026-06-24 10:00
Heart-spotted Woodpecker,1.0,12.2207289,75.7353586,2026-06-24 10:00
Greater Racket-tailed Drongo,1.0,12.2207289,75.7353586,2026-06-24 10:00
Rufous Babbler,3.0,12.2207289,75.7353586,2026-06-24 10:00
Jungle Myna,2.0,12.2207289,75.7353586,2026-06-24 10:00
Loten's Sunbird,1.0,12.2207289,75.7353586,2026-06-24 10:00
Malabar Woodshrike,4.0,12.2207289,75.7353586,2026-06-24 10:00
Black-throated Munia,3.0,12.2207289,75.7353586,2026-06-24 10:00
Vernal Hanging-Parrot,2.0,12.2207289,75.7353586,2026-06-24 10:00
Bronzed Drongo,2.0,12.2207289,75.7353586,2026-06-24 10:00
Malabar Barbet,2.0,12.2207289,75.7353586,2026-06-24 10:00
Mountain Tailorbird,1.0,28.0406517,93.7506298,2026-06-24 09:52
Blyth's Leaf Warbler,1.0,28.0406517,93.7506298,2026-06-24 09:52
Gray-headed Canary-Flycatcher,1.0,28.0406517,93.7506298,2026-06-24 09:52
Striated Bulbul,1.0,28.0406517,93.7506298,2026-06-24 09:52
White-naped Yuhina,3.0,28.0406517,93.7506298,2026-06-24 09:52
Indian Spot-billed Duck,3.0,28.6487921,77.3585439,2026-06-24 09:46
Red-naped Ibis,5.0,22.5307949,72.9860768,2026-06-24 09:40
Black-crowned Night Heron,1.0,22.5307949,72.9860768,2026-06-24 09:40
Great Cormorant,1.0,22.5307949,72.9860768,2026-06-24 09:40
